***Fleet composition (%)***			
F_Type	1	2	3
****************************			
*LEVEL1 - FUEL distribution*			
****************************			
Total	100.00%	100.00%	100.00%
*Passenger cars -Gasoline -Euro6			
k021	0.00	0.00	0.00
k022	0.00	0.00	0.00
k023	100.00	100.00	100.00
k024	0.00	0.00	0.00
Total	100.00%	100.00%	100.00%
*Passenger cars -Diesel -Euro0			
k025	100.00	100.00	100.00
k026	0.00	0.00	0.00
Total	100.00%	100.00%	100.00%
*Passenger cars -Diesel -Euro1			
k027	100.00	100.00	100.00
k028	0.00	0.00	0.00
Total	100.00%	100.00%	100.00%
*Passenger cars -Diesel -Euro2			
k029	100.00	100.00	100.00
k030	0.00	0.00	0.00
Total	100.00%	100.00%	100.00%
*Passenger cars -Diesel -Euro3			
k031	100.00	100.00	100.00
k032	0.00	0.00	0.00
Total	100.00%	100.00%	100.00%
*Passenger cars -Diesel -Euro4			
k033	0.00	0.00	0.00
k034	100.00	100.00	100.00
k035	0.00	0.00	0.00
Total	100.00%	100.00%	100.00%
*Passenger cars -Diesel -Euro5			
k036	0.00	0.00	0.00
k037	100.00	100.00	100.00
k038	0.00	0.00	0.00
Total	100.00%	100.00%	100.00%
*Passenger cars -Diesel -Euro6			
k039	0.00	0.00	0.00
k040	100.00	100.00	100.00
k041	0.00	0.00	0.00
Total	100.00%	100.00%	100.00%
*Passenger cars -Hybrids -Euro4			
k042	0.00	0.00	0.00
k043	100.00	100.00	100.00
k044	0.00	0.00	0.00
Total	100.00%	100.00%	100.00%
*Passenger cars -Hybrids -Euro5			
k045	0.00	0.00	0.00
k046	100.00	100.00	100.00
k047	0.00	0.00	0.00
Total	100.00%	100.00%	100.00%
*Passenger cars -Hybrids -Euro6			
k048	0.00	0.00	0.00
k049	100.00	100.00	100.00
k050	0.00	0.00	0.00
Total	100.00%	100.00%	100.00%
*Passenger cars -New -Euro0			
k051	0.00	0.00	0.00
k052	100.00	100.00	100.00
k053	0.00	0.00	0.00
Total	100.00%	100.00%	100.00%
*Passenger cars -New -Euro1			
k054	0.00	0.00	0.00
k055	100.00	100.00	100.00
k056	0.00	0.00	0.00
Total	100.00%	100.00%	100.00%
*Passenger cars -New -Euro2			
k057	0.00	0.00	0.00
k058	100.00	100.00	100.00
k059	0.00	0.00	0.00
Total	100.00%	100.00%	100.00%
*Passenger cars -New -Euro3			
k060	0.00	0.00	0.00
k061	100.00	100.00	100.00
k062	0.00	0.00	0.00
Total	100.00%	100.00%	100.00%
*Passenger cars -New -Euro4			
k063	0.00	0.00	0.00
k064	0.00	0.00	0.00
k065	100.00	100.00	100.00
k066	0.00	0.00	0.00
Total	100.00%	100.00%	100.00%
*Passenger cars -New -Euro5			
k067	0.00	0.00	0.00
k068	0.00	0.00	0.00
k069	100.00	100.00	100.00
k070	0.00	0.00	0.00
Total	100.00%	100.00%	100.00%
*Passenger cars -New -Euro6			
k071	0.00	0.00	0.00
k072	0.00	0.00	0.00
k073	100.00	100.00	100.00
k074	0.00	0.00	0.00
Total	100.00%	100.00%	100.00%
*Heavy duty vehicles -Diesel -Euro0			
k200	20.30	20.30	20.30
k201	19.60	19.60	19.60
k202	5.50	5.50	5.50
k203	14.20	14.20	14.20
k204	13.90	13.90	13.90
k205	2.10	2.10	2.10
k206	3.70	3.70	3.70
k207	1.40	1.40	1.40
k208	2.40	2.40	2.40
k209	1.10	1.10	1.10
k210	1.60	1.60	1.60
k211	3.20	3.20	3.20
k212	9.90	9.90	9.90
k213	1.10	1.10	1.10
Total	100.00%	100.00%	100.00%
*Heavy duty vehicles -Diesel -Euro1			
k214	5.90	5.90	5.90
k215	7.10	7.10	7.10
k216	8.50	8.50	8.50
k217	8.50	8.50	8.50
k218	10.10	10.10	10.10
k219	10.10	10.10	10.10
k220	9.70	9.70	9.70
k221	10.10	10.10	10.10
k222	9.70	9.70	9.70
k223	0.00	0.00	0.00
k224	0.00	0.00	0.00
k225	0.00	0.00	0.00
k226	10.10	10.10	10.10
k227	10.20	10.20	10.20
Total	100.00%	100.00%	100.00%
*Heavy duty vehicles -Diesel -Euro2			
k228	4.60	4.60	4.60
k229	5.40	5.40	5.40
k230	6.90	6.90	6.90
k231	6.80	6.80	6.80
k232	7.30	7.30	7.30
k233	7.30	7.30	7.30
k234	7.20	7.20	7.20
k235	7.40	7.40	7.40
k236	7.90	7.90	7.90
k237	7.20	7.20	7.20
k238	7.90	7.90	7.90
k239	7.50	7.50	7.50
k240	8.20	8.20	8.20
k241	8.40	8.40	8.40
Total	100.00%	100.00%	100.00%
*Heavy duty vehicles -Diesel -Euro3			
k242	5.00	5.00	5.00
k243	5.90	5.90	5.90
k244	9.00	9.00	9.00
k245	8.90	8.90	8.90
k246	9.30	9.30	9.30
k247	9.30	9.30	9.30
k248	9.40	9.40	9.40
k249	9.50	9.50	9.50
k250	0.00	0.00	0.00
k251	0.00	0.00	0.00
k252	0.00	0.00	0.00
